## blobtools v1.0
## assembly	: /home/amir/gasp/platanus_assemblies/Sefale_22_gapClosed.fa
## coverage	: bam0 - /home/amir/gasp/mapping/Sefale_platanus_22.bam
## taxonomy	: tax0 - /home/amir/gasp/blast/Sefale_platanus_22.txt
## nodesDB	: /home/amir/gasp/blobtools/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
scaffold1_cov50	1155	0.4173	0	47.119	Ascomycota	2134.0	0
scaffold2_cov42	181	0.3315	0	39.254	Ascomycota	335.0	0
scaffold3_cov28	200	0.315	0	31.93	Ascomycota	370.0	0
scaffold4_cov38	1049	0.3642	0	38.484	Ascomycota	1916.0	0
scaffold5_cov40	2601	0.3618	0	37.688	Ascomycota	4787.0	0
scaffold6_cov53	1058	0.3418	37	50.703	Ascomycota	1463.0	0
scaffold7_cov63	247	0.3765	0	64.972	Ascomycota	457.0	0
scaffold8_cov63	1667	0.4193	0	63.902	Ascomycota	3062.0	0
scaffold9_cov54	1857	0.3694	0	49.53	Ascomycota	3424.0	0
scaffold10_cov40	909	0.3476	0	37.769	Ascomycota	1679.0	0
scaffold11_cov55	755	0.5298	0	52.713	Ascomycota	1395.0	0
scaffold12_cov10	167	0.3952	0	8.06	Ascomycota	303.0	0
scaffold13_cov44	2139	0.4077	0	41.761	Ascomycota	3951.0	0
scaffold14_cov14	182	0.3516	0	38.192	Ascomycota	259.0	0
scaffold15_cov77	727	0.4044	0	77.135	Ascomycota	1339.0	0
scaffold16_cov36	2055	0.3455	35	35.643	Ascomycota	1995.0	0
scaffold17_cov54	546	0.381	0	52.013	Ascomycota	970.0	0
scaffold18_cov16	189	0.2328	0	15.72	Ascomycota	350.0	0
scaffold19_cov48	1013	0.4116	0	45.221	Ascomycota	1871.0	0
scaffold20_cov38	790	0.3519	0	38.285	Ascomycota	1459.0	0
scaffold21_cov73	309	0.3463	0	80.495	Ascomycota	566.0	0
scaffold22_cov50	765	0.3804	0	47.21	Ascomycota	1413.0	0
scaffold23_cov40	321	0.3925	0	36.227	Ascomycota	593.0	0
scaffold24_cov59	718	0.5669	0	54.734	Ascomycota	1327.0	0
scaffold25_cov52	819	0.3883	0	48.81	Ascomycota	1507.0	0
scaffold26_cov59	1391	0.3904	0	58.933	Ascomycota	2569.0	0
scaffold27_cov47	4293	0.393	0	46.831	Ascomycota	7849.0	0
scaffold28_cov99	157	0.4076	0	96.72	Ascomycota	291.0	0
scaffold29_cov54	1638	0.3596	0	54.38	Ascomycota	3014.0	0
scaffold30_cov12	118	0.339	0	10.0	Ascomycota	213.0	0
scaffold31_cov36	1701	0.377	51	35.859	Ascomycota	1637.0	0
scaffold32_cov24	315	0.3683	0	22.857	Ascomycota	582.0	0
scaffold33_cov48	1524	0.3924	0	46.094	Ascomycota	2815.0	0
scaffold34_cov38	438	0.4475	0	39.877	Ascomycota	809.0	0
scaffold35_cov53	3415	0.3988	0	51.672	Ascomycota	6220.0	0
scaffold36_cov8	148	0.0473	0	203.473	no-hit	0.0	0
scaffold37_cov26	156	0.3526	0	22.712	Ascomycota	289.0	0
scaffold38_cov24	249	0.3333	0	20.309	Ascomycota	460.0	0
scaffold39_cov46	2066	0.4059	90	44.278	Ascomycota	2130.0	0
scaffold40_cov59	875	0.384	0	57.392	Ascomycota	1611.0	0
scaffold41_cov22	213	0.4131	0	22.005	Ascomycota	394.0	0
scaffold42_cov55	691	0.3792	0	49.385	Ascomycota	1271.0	0
scaffold43_cov44	354	0.3701	0	40.167	Ascomycota	647.0	0
scaffold44_cov32	129	0.5504	0	23.698	Ascomycota	239.0	0
scaffold45_cov12	158	0.5316	0	23.468	Ascomycota	287.0	0
scaffold46_cov52	3610	0.3864	0	49.66	Ascomycota	6645.0	0
