## blobtools v1.0
## assembly	: /home/amir/gasp/celera_assemblies/404.mer22.scf.fasta
## coverage	: bam0 - /home/amir/gasp/mapping/404_celera_22.bam
## taxonomy	: tax0 - /home/amir/gasp/blast/404_celera_22.txt
## nodesDB	: /home/amir/gasp/blobtools/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
scf7180000027356	9816	0.3485	80	49.059	Ascomycota	9276.0	0
scf7180000027357	3957	0.3592	20	63.185	Ascomycota	4274.0	0
scf7180000027358	21857	0.3895	120	41.67	Ascomycota	25471.0	0
scf7180000027359	15007	0.3893	20	35.566	Ascomycota	27590.0	0
scf7180000027360	29232	0.3796	120	41.165	Ascomycota	18812.0	0
scf7180000027361	19889	0.381	100	47.035	Ascomycota	18467.0	0
scf7180000027362	8434	0.3761	40	32.481	Ascomycota	7513.0	0
scf7180000027363	16729	0.3627	80	29.672	Ascomycota	20244.0	0
scf7180000027364	13145	0.385	40	33.795	Ascomycota	18942.0	0
scf7180000027365	24543	0.3842	100	33.115	Ascomycota	26061.0	0
scf7180000027366	4605	0.3744	0	51.009	Ascomycota	8504.0	0
scf7180000027367	26915	0.3578	120	33.252	Ascomycota	18790.0	0
scf7180000027368	11489	0.3784	20	37.236	Ascomycota	16502.0	0
scf7180000027369	27327	0.3896	140	36.018	Ascomycota	18962.0	0
scf7180000027370	30481	0.3688	100	40.776	Ascomycota	27748.0	0
scf7180000027371	9539	0.3962	0	34.0	Ascomycota	17616.0	0
scf7180000027372	18110	0.3837	40	35.326	Ascomycota	17717.0	0
scf7180000027373	15782	0.3757	60	35.361	Ascomycota	16752.0	0
scf7180000027374	10076	0.3911	20	45.336	Ascomycota	18412.0	0
scf7180000027375	15311	0.388	60	34.006	Ascomycota	19749.0	0
scf7180000027376	17737	0.4027	60	57.526	Ascomycota	18183.0	0
scf7180000027377	18915	0.3743	80	34.114	Ascomycota	13963.0	0
scf7180000027378	19703	0.3743	80	32.999	Ascomycota	20048.0	0
scf7180000027379	15927	0.3799	40	31.828	Ascomycota	29159.0	0
scf7180000027380	17042	0.3883	80	29.45	Ascomycota	18046.0	0
scf7180000027381	11003	0.4171	60	30.545	Ascomycota	8541.0	0
scf7180000027382	14593	0.3834	40	28.999	Ascomycota	18077.0	0
scf7180000027383	10203	0.3897	60	39.423	Ascomycota	15010.0	0
scf7180000027384	10564	0.3779	40	30.592	Ascomycota	15919.0	0
scf7180000027385	17374	0.3961	100	39.525	Ascomycota	27813.0	0
scf7180000027386	12302	0.4026	40	34.464	Ascomycota	13873.0	0
scf7180000027387	7601	0.3673	0	33.382	Ascomycota	14015.0	0
scf7180000027388	13466	0.3693	20	28.284	Ascomycota	15114.0	0
scf7180000027389	9454	0.402	20	29.13	Ascomycota	15263.0	0
scf7180000027390	34822	0.3964	200	40.497	Ascomycota	22550.0	0
scf7180000027391	25959	0.3863	80	37.928	Ascomycota	29128.0	0
scf7180000027392	15457	0.3745	20	33.257	Ascomycota	20179.0	0
scf7180000027393	11378	0.3796	20	28.443	Ascomycota	15662.0	0
scf7180000027394	16097	0.4105	40	37.504	Ascomycota	29492.0	0
scf7180000027395	8315	0.4115	0	28.424	Ascomycota	15356.0	0
scf7180000027396	15822	0.3836	60	32.276	Ascomycota	25350.0	0
scf7180000027397	31593	0.3823	160	29.579	Ascomycota	20895.0	0
scf7180000027398	14954	0.3761	60	32.206	Ascomycota	13559.0	0
scf7180000027399	11538	0.3672	20	32.697	Ascomycota	12890.0	0
scf7180000027400	11074	0.3755	60	26.709	Ascomycota	10336.0	0
scf7180000027401	8421	0.3607	20	38.912	Ascomycota	15446.0	0
scf7180000027402	8744	0.4012	20	37.268	Ascomycota	16024.0	0
scf7180000027403	6221	0.3633	0	40.895	Ascomycota	11472.0	0
scf7180000027404	13950	0.3764	80	45.879	Ascomycota	25115.0	0
scf7180000027405	14704	0.39	100	36.469	Ascomycota	11260.0	0
scf7180000027406	2669	0.4114	0	37.544	Ascomycota	4828.0	0
scf7180000027407	10198	0.3947	20	41.936	Ascomycota	18702.0	0
scf7180000027408	17838	0.39	80	32.644	Ascomycota	19257.0	0
scf7180000027409	13496	0.3808	60	31.083	Ascomycota	21208.0	0
scf7180000027410	5320	0.3994	0	41.183	Ascomycota	9825.0	0
scf7180000027411	14466	0.3703	20	34.381	Ascomycota	15631.0	0
scf7180000027412	10733	0.3956	20	37.294	Ascomycota	19719.0	0
scf7180000027413	8244	0.3555	20	29.313	Ascomycota	13079.0	0
scf7180000027414	6193	0.4098	0	33.694	Ascomycota	11420.0	0
scf7180000027415	10008	0.3854	20	30.744	Ascomycota	11544.0	0
scf7180000027416	8901	0.3882	40	49.199	Ascomycota	13745.0	0
scf7180000027417	8629	0.3826	40	39.825	Ascomycota	9496.0	0
scf7180000027418	6875	0.3825	20	41.096	Ascomycota	9688.0	0
scf7180000027419	9484	0.3602	20	45.564	Ascomycota	17392.0	0
scf7180000027420	4672	0.3549	0	48.865	Ascomycota	8617.0	0
scf7180000027421	11450	0.3746	20	46.269	Ascomycota	21015.0	0
scf7180000027422	10430	0.3662	80	34.663	Ascomycota	9812.0	0
scf7180000027423	23797	0.3881	100	34.5	Ascomycota	21043.0	0
scf7180000027424	7331	0.3956	40	43.651	Ascomycota	9465.0	0
scf7180000027425	12701	0.4005	60	36.02	Ascomycota	13082.0	0
